Store,Date,Elasticity,Elasticity_Segment,Base_Price,Recommended_Price,Recommended_Multiplier,Recommended_Demand,Recommended_Revenue,Expected_Demand_Change_Pct,Expected_Revenue_Change_Pct,Decision_Type
1,2012-10-26,-0.034598109120505365,LowSensitivity,84.11,95.8854,1.1400000000000001,1549488.4342544603,148573318.31386262,-0.10855656168620165,13.876245519677743,GuardrailedOptimum
2,2012-10-26,-0.0438071175815564,LowSensitivity,86.4,98.49600000000002,1.1400000000000001,1858218.5247467293,183027091.81345388,0.0,14.000000000000012,GuardrailedOptimum
3,2012-10-26,-0.12403197741302238,HighSensitivity,83.14,86.46560000000001,1.04,420233.5794142829,36335748.58420362,0.0,4.0000000000000036,GuardrailedOptimum
4,2012-10-26,-0.021182153882324778,LowSensitivity,81.32,92.7048,1.1400000000000001,2215043.027186829,205345120.82674956,-0.0003870108384651516,13.999558807644163,GuardrailedOptimum
5,2012-10-26,-0.18990027823513494,HighSensitivity,78.45,81.58800000000001,1.04,331597.65635885485,27054389.587006252,0.0,4.000000000000026,GuardrailedOptimum
6,2012-10-26,-0.03463509044245879,LowSensitivity,87.67,99.94380000000001,1.1400000000000001,1484217.438084295,148338330.78840917,0.0,14.000000000000012,GuardrailedOptimum
7,2012-10-26,-0.009204045382681719,LowSensitivity,92.63,105.5982,1.1400000000000001,530765.6969940297,56047902.22431495,-0.41511507292971705,13.526768816860146,GuardrailedOptimum
8,2012-10-26,-0.1051334964259063,HighSensitivity,83.29,86.62160000000002,1.04,911610.6616808731,78965174.09185593,0.0,4.0000000000000036,GuardrailedOptimum
9,2012-10-26,-0.14249770642474072,HighSensitivity,83.83,87.1832,1.04,564140.9950781759,49183617.20209963,0.0,4.0000000000000036,GuardrailedOptimum
10,2012-10-26,-0.027761411339628162,LowSensitivity,87.3,99.522,1.1400000000000001,1786696.7630121417,177815635.2484944,0.0,14.000000000000012,GuardrailedOptimum
11,2012-10-26,-0.04453715825642285,LowSensitivity,87.53,99.78420000000001,1.1400000000000001,1313605.361643995,131077060.12735674,0.0,14.000000000000012,GuardrailedOptimum
12,2012-10-26,-0.049227300212600016,LowSensitivity,87.24,99.45360000000001,1.1400000000000001,956778.8758593745,95155103.6081679,0.0,14.000000000000012,GuardrailedOptimum
13,2012-10-26,-0.012177123046828506,LowSensitivity,91.93,104.80020000000002,1.1400000000000001,2018800.9513242315,211570743.45896977,-0.8178659152736967,13.067632856588007,GuardrailedOptimum
14,2012-10-26,-0.04334038498971875,LowSensitivity,90.94,103.67160000000001,1.1400000000000001,1633283.7515346024,169325139.7755947,-1.6658803398222122,12.100896412602701,GuardrailedOptimum
15,2012-10-26,-0.011946618321251124,LowSensitivity,93.41,106.48740000000001,1.1400000000000001,573581.6371839724,61079217.23146455,-0.5401776892008381,13.384197434311051,GuardrailedOptimum
16,2012-10-26,-0.0453332647528162,LowSensitivity,92.06,104.94840000000002,1.1400000000000001,549349.8497466028,57653387.77114638,-0.3730649215216819,13.574705989465308,GuardrailedOptimum
17,2012-10-26,-0.06876993113320788,MediumSensitivity,85.49,94.039,1.1,965074.8820985567,90754676.83766618,0.0,10.000000000000009,GuardrailedOptimum
18,2012-10-26,-0.008684587993583683,LowSensitivity,95.07,108.3798,1.1400000000000001,1056206.8835181827,114471490.79432394,-0.28271249960677425,13.677707750448276,GuardrailedOptimum
19,2012-10-26,-0.01515450660115666,LowSensitivity,92.41,105.34740000000001,1.1400000000000001,1365945.0991826477,143898764.74163407,-0.6553889761628628,13.252856567174366,GuardrailedOptimum
20,2012-10-26,-0.024617894899589723,LowSensitivity,84.46,96.2844,1.1400000000000001,2017245.4957048455,194229272.20664364,-0.31963062583619806,13.635621086546767,GuardrailedOptimum
21,2012-10-26,-0.0582115481814959,MediumSensitivity,88.79,97.66900000000001,1.1,653875.888819538,63863404.18511547,0.0,10.000000000000009,GuardrailedOptimum
22,2012-10-26,-0.007220592053294858,LowSensitivity,96.84,110.39760000000001,1.1400000000000001,1005539.7709936368,111009177.42224713,-0.2414072131342926,13.724795777026898,GuardrailedOptimum
23,2012-10-26,-0.06753520081963978,MediumSensitivity,85.47,94.01700000000001,1.1,1397721.160581457,131409550.35438685,0.0,10.000000000000009,GuardrailedOptimum
24,2012-10-26,-0.02790407460755784,LowSensitivity,99.19,113.07660000000001,1.1400000000000001,1323609.686657273,149669283.0942698,-0.45829166593019943,13.47754750083958,GuardrailedOptimum
25,2012-10-26,-0.008073914712641364,LowSensitivity,93.08,106.11120000000001,1.1400000000000001,690021.4485095278,73219003.92708422,-0.2739333860039994,13.687715939955458,GuardrailedOptimum
26,2012-10-26,-0.03842860436855472,LowSensitivity,88.71,101.1294,1.1400000000000001,1011058.5662110097,102247746.1657797,0.0,14.000000000000012,GuardrailedOptimum
27,2012-10-26,-0.028991651792092725,LowSensitivity,96.03,109.47420000000001,1.1400000000000001,1675345.9721769346,183407160.0272922,-0.8462516060215086,13.035273169135486,GuardrailedOptimum
28,2012-10-26,-0.023744098558559162,LowSensitivity,99.09,112.96260000000002,1.1400000000000001,1204294.7584904765,136040267.08545634,-0.5258012708365234,13.400586551246384,GuardrailedOptimum
29,2012-10-26,-0.017590258168150102,LowSensitivity,101.55,115.76700000000001,1.1400000000000001,522829.50096474605,60526402.838185765,-0.4004590947724318,13.543476631959429,GuardrailedOptimum
30,2012-10-26,-0.014502828351261599,LowSensitivity,96.91,110.4774,1.1400000000000001,434194.3694412348,47968665.03050707,-0.4715413110552569,13.462442905396998,GuardrailedOptimum
31,2012-10-26,-0.037751255358075726,LowSensitivity,88.86,101.30040000000001,1.1400000000000001,1367777.0012365356,138556357.33606157,-0.12296074685061997,13.85982474859031,GuardrailedOptimum
32,2012-10-26,-0.008430764280078032,LowSensitivity,103.17,117.61380000000001,1.1400000000000001,1239603.642587171,145794494.898519,0.2791066837862788,14.318181619516345,GuardrailedOptimum
33,2012-10-26,-0.023506111200802284,LowSensitivity,99.63,113.57820000000001,1.1400000000000001,265433.8223964506,30147495.76690855,-0.4093440746396171,13.53334775491084,GuardrailedOptimum
34,2012-10-26,-0.004864478742456598,LowSensitivity,97.8,111.492,1.1400000000000001,969426.8649895885,108083340.0314192,-0.1581225476211201,13.819740295711934,GuardrailedOptimum
35,2012-10-26,-0.009165093389261709,LowSensitivity,96.58,110.1012,1.1400000000000001,858543.5419803731,94526674.22428946,-0.17850806632087046,13.79650080439423,GuardrailedOptimum
36,2012-10-26,-0.01560061540354607,LowSensitivity,100.13,114.1482,1.1400000000000001,293590.43528092204,33512819.724533748,-0.5050413312946422,13.424252882324117,GuardrailedOptimum
37,2012-10-26,-0.008678280641153498,LowSensitivity,101.6,115.82400000000001,1.1400000000000001,543290.3600101941,62926062.65782073,-0.27355589798985225,13.68814627629158,GuardrailedOptimum
38,2012-10-26,-0.007328155999644882,LowSensitivity,97.18,110.78520000000002,1.1400000000000001,432054.2660606073,47865218.276377596,-0.3540929515025826,13.596334035287061,GuardrailedOptimum
39,2012-10-26,-0.022906080163078497,LowSensitivity,90.0,102.60000000000001,1.1400000000000001,1550927.4533504196,159125156.71375307,-0.13628927241572386,13.844630229446086,GuardrailedOptimum
40,2012-10-26,-0.03736096016062305,LowSensitivity,102.43,116.77020000000002,1.1400000000000001,962398.0903319989,112379417.48768559,-0.08537419024696735,13.902673423118461,GuardrailedOptimum
41,2012-10-26,-0.004263287846783479,LowSensitivity,95.95,109.38300000000001,1.1400000000000001,1383065.5203758164,151283855.81526795,-0.13884683218956528,13.841714611303924,GuardrailedOptimum
42,2012-10-26,-0.013056494834596671,LowSensitivity,104.54,119.17560000000002,1.1400000000000001,577119.4208097034,68778553.2466489,-0.14154996524979868,13.838633039615233,GuardrailedOptimum
43,2012-10-26,-0.010458351627105615,LowSensitivity,100.92,115.04880000000001,1.1400000000000001,630310.8447914767,72516506.32024565,-0.2429879672100288,13.722993717380572,GuardrailedOptimum
44,2012-10-26,-0.014473974487695468,LowSensitivity,111.76,127.40640000000002,1.1400000000000001,349570.34653598326,44537499.3989021,0.0,14.000000000000012,GuardrailedOptimum
45,2012-10-26,-0.010665469486343379,LowSensitivity,105.01,119.71140000000001,1.1400000000000001,747802.7387587668,89520512.78064625,0.0,14.000000000000012,GuardrailedOptimum
